"QuestionID";"CreationDate";"Title";"Body";"Tags";"AcceptedDate";"NumberOfComments";"CommentsTexts";"Successful"
"4";"2008-07-31 21:42:52";"When setting a form's opacity should I use a decimal or double?";"<p>I want to use a track-bar to change a form's opacity.</p>&#xA;&#xA;<p>This is my code:</p>&#xA;&#xA;<pre><code>decimal trans = trackBar1.Value / 5000;&#xA;this.Opacity = trans;&#xA;</code></pre>&#xA;&#xA;<p>When I try to build it, I get this error:</p>&#xA;&#xA;<blockquote>&#xA;  <p>Cannot implicitly convert type 'decimal' to 'double'.</p>&#xA;</blockquote>&#xA;&#xA;<p>I tried making <code>trans</code> a <code>double</code>, but then the control doesn't work. This code has worked fine for me in VB.NET in the past. </p>&#xA;";"<c#><winforms><type-conversion><opacity>";"2008-08-09 00:00:00";"0";"";"yes"
"6";"2008-07-31 22:08:08";"Why doesn't the percentage width child in absolutely positioned parent work?";"<p>I have an absolutely positioned <code>div</code> containing several children, one of which is a relatively positioned <code>div</code>. When I use a <strong>percentage-based width</strong> on the child <code>div</code>, it collapses to <code>0</code> width on IE7, but not on Firefox or Safari. </p>&#xA;&#xA;<p>If I use <strong>pixel width</strong>, it works. If the parent is relatively positioned, the percentage width on the child works. </p>&#xA;&#xA;<p>Is there something I'm missing here? &#xA;Is there an easy fix for this besides the <em>pixel-based width</em> on the child? &#xA;Is there an area of the <code>CSS</code> specification that covers this?</p>&#xA;";"<html><css><css3><internet-explorer-7>";"2009-12-17 00:00:00";"0";"";"yes"
"8";"2008-07-31 23:33:19";"Tool for Converting Visual J# code to C#?";"<p>Are there any conversion tools for porting from <strong>Visual J#</strong> code to <strong>C#</strong>?</p>&#xA;";"<c#><code-generation><j#><visualj#>";"2009-12-17 00:00:00";"0";"";"yes"
"9";"2008-07-31 23:40:59";"How do I calculate someone's age in C#?";"<p>Given a <code>DateTime</code> representing a person's birthday, how do I calculate their age?  </p>&#xA;";"<c#><.net><datetime>";"2008-08-05 00:00:00";"0";"";"yes"
"11";"2008-07-31 23:55:37";"How do I calculate relative time?";"<p>Given a specific <code>DateTime</code> value, how do I display relative time, like:</p>&#xA;&#xA;<ul>&#xA;<li>2 hours ago</li>&#xA;<li>3 days ago</li>&#xA;<li>a month ago</li>&#xA;</ul>&#xA;&#xA;<p>Et cetera?</p>&#xA;";"<datediff>";"2008-09-29 00:00:00";"0";"";"yes"
"13";"2008-08-01 00:42:38";"Determining a web user's time zone";"<p>Is there a standard way for a Web Server to determine what time zone offset a user is in? </p>&#xA;&#xA;<p>Perhaps from an <code>HTTP</code> header? Or part of the user-agent description?</p>&#xA;";"<html><browser><timezone><timezoneoffset>";"2008-08-16 00:00:00";"0";"";"yes"
"14";"2008-08-01 00:59:11";"Difference between Math.Floor() and Math.Truncate()";"<p>What is the difference between <a href=\"http://msdn.microsoft.com/en-us/library/9a6a2sxy.aspx\"><code>Math.Floor()</code></a> and <a href=\"http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx\"><code>Math.Truncate()</code></a> in .NET?</p>&#xA;";"<.net><visual-studio><math><msdn>";"Null";"0";"";"no"
"16";"2008-08-01 04:59:33";"Filling a DataSet or DataTable from a LINQ query result set";"<p>How do you expose a <strong>LINQ</strong> query as an <strong>ASMX</strong> web service? Usually, from the business tier, I can return a typed <code>DataSet</code> or <code>DataTable</code> which can be serialized for transport over <strong>ASMX</strong>.</p>&#xA;&#xA;<p>How can I do the same for a <strong>LINQ</strong> query? Is there a way to populate a typed <code>DataSet</code> or <code>DataTable</code> via a <strong>LINQ</strong> query?: </p>&#xA;&#xA;<pre><code>public static MyDataTable CallMySproc()    &#xA;{    &#xA;    string conn = ...;&#xA;&#xA;    MyDatabaseDataContext db = new MyDatabaseDataContext(conn);    &#xA;    MyDataTable dt = new MyDataTable();&#xA;&#xA;    // execute a sproc via LINQ&#xA;    var query = from dr in db.MySproc().AsEnumerable&#xA;    select dr;&#xA;&#xA;    // copy LINQ query resultset into a DataTable -this does not work !    &#xA;    dt = query.CopyToDataTable();&#xA;&#xA;    return dt;&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>How can I get the resultset of a <strong>LINQ</strong> query into a <code>DataSet</code> or <code>DataTable</code>? Alternatively, is the <strong>LINQ</strong> query serializeable so that I can expose it as an <strong>ASMX</strong> web service?</p>&#xA;";"<c#><linq><web-services><.net-3.5>";"2008-08-28 00:00:00";"0";"";"yes"
"17";"2008-08-01 05:09:55";"Binary Data in MySQL";"<p>How do I store binary data in <a href=\"http://en.wikipedia.org/wiki/MySQL\">MySQL</a>?</p>&#xA;";"<mysql><database><binary-data><data-storage>";"2012-02-29 00:00:00";"0";"";"yes"
"19";"2008-08-01 05:21:22";"What is the fastest way to get the value of π?";"<p>Solutions are welcome in any language. :-) I'm looking for the fastest way to obtain the value of π, as a personal challenge. More specifically I'm using ways that don't involve using <code>#define</code>d constants like <code>M_PI</code>, or hard-coding the number in.</p>&#xA;&#xA;<p>The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable; I've included it as a baseline to compare the other versions against. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p>&#xA;&#xA;<p>Here's the main testing program (<code>pitimes.c</code>):</p>&#xA;&#xA;<pre><code>#include &lt;math.h&gt;&#xA;#include &lt;stdio.h&gt;&#xA;#include &lt;time.h&gt;&#xA;&#xA;#define ITERS 10000000&#xA;#define TESTWITH(x) {                                                       \\&#xA;    diff = 0.0;                                                             \\&#xA;    time1 = clock();                                                        \\&#xA;    for (i = 0; i &lt; ITERS; ++i)                                             \\&#xA;        diff += (x) - M_PI;                                                 \\&#xA;    time2 = clock();                                                        \\&#xA;    printf(\"%s\\t=&gt; %e, time =&gt; %f\\n\", #x, diff, diffclock(time2, time1));   \\&#xA;}&#xA;&#xA;static inline double&#xA;diffclock(clock_t time1, clock_t time0)&#xA;{&#xA;    return (double) (time1 - time0) / CLOCKS_PER_SEC;&#xA;}&#xA;&#xA;int&#xA;main()&#xA;{&#xA;    int i;&#xA;    clock_t time1, time2;&#xA;    double diff;&#xA;&#xA;    /* Warmup. The atan2 case catches GCC's atan folding (which would&#xA;     * optimise the ``4 * atan(1) - M_PI'' to a no-op), if -fno-builtin&#xA;     * is not used. */&#xA;    TESTWITH(4 * atan(1))&#xA;    TESTWITH(4 * atan2(1, 1))&#xA;&#xA;#if defined(__GNUC__) &amp;&amp; (defined(__i386__) || defined(__amd64__))&#xA;    extern double fldpi();&#xA;    TESTWITH(fldpi())&#xA;#endif&#xA;&#xA;    /* Actual tests start here. */&#xA;    TESTWITH(atan2(0, -1))&#xA;    TESTWITH(acos(-1))&#xA;    TESTWITH(2 * asin(1))&#xA;    TESTWITH(4 * atan2(1, 1))&#xA;    TESTWITH(4 * atan(1))&#xA;&#xA;    return 0;&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>And the inline assembly stuff (<code>fldpi.c</code>), noting that it will only work for x86 and x64 systems:</p>&#xA;&#xA;<pre><code>double&#xA;fldpi()&#xA;{&#xA;    double pi;&#xA;    asm(\"fldpi\" : \"=t\" (pi));&#xA;    return pi;&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>And a build script that builds all the configurations I'm testing (<code>build.sh</code>):</p>&#xA;&#xA;<pre><code>#!/bin/sh&#xA;gcc -O3 -Wall -c           -m32 -o fldpi-32.o fldpi.c&#xA;gcc -O3 -Wall -c           -m64 -o fldpi-64.o fldpi.c&#xA;&#xA;gcc -O3 -Wall -ffast-math  -m32 -o pitimes1-32 pitimes.c fldpi-32.o&#xA;gcc -O3 -Wall              -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm&#xA;gcc -O3 -Wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm&#xA;gcc -O3 -Wall -ffast-math  -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm&#xA;gcc -O3 -Wall              -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm&#xA;gcc -O3 -Wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm&#xA;</code></pre>&#xA;&#xA;<p>Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too, because the optimisations are different), I've also tried switching the order of the tests around. The <code>atan2(0, -1)</code> version still comes out top every time, though.</p>&#xA;";"<performance><algorithm><language-agnostic><unix><pi>";"2014-07-25 00:00:00";"6";"I asked the question initially because I was one of the very first people in the private beta, and Jeff was asking people to populate the site with questions. This was one I was dealing with at the time, to solve this problem: http://stackoverflow.com/questions/1053 [continues] [continued] However, aside from that specific purpose (which is kinda frivolous anyway), this question itself is frivolous, and was not intended to be a serious question at all. In fact, of the 4 questions I've so for posted, only one is serious. :-P @erik: Not all languages have a built-in constant like `M_PI`. I was trying to find an \"authoritative\" way to get a (floating-point) value of pi that (in theory) works across a variety of languages (and/or their built-in libraries). My current preferred method is using `atan2(0, -1)`, but perhaps there are better ways. @Doorhandle Well, you're talking to [user #3](http://codegolf.stackexchange.com/users/3) on [Code Golf SE](http://codegolf.stackexchange.com/), and the poster of [Stack Overflow code golf](http://stackoverflow.com/q/62188/13), so. ;-) @Zeus In this specific case, my question was actually intended to be a \"fun\" micro-optimisation question (which, these days, would probably be a better fit for [Programming Puzzles & Code Golf](http://codegolf.stackexchange.com/)), but the general premise of \"fastest way to calculate pi\" seemed to be useful enough to keep this question here. So, at some stage, I will probably reevaluate whether I should just accept the best algorithmic answer (probably nlucaroni's one), without regard to whether it's related to micro-optimisation. @HopelessN00b In the dialect of English I speak, \"optimisation\" is [spelt](http://en.wiktionary.org/wiki/spelt#Verb) with an \"s\", not a \"z\" (which is pronounced as \"zed\", BTW, not \"zee\" ;-)). (This is not the first time I've had to revert this sort of edit, too, if you look at the review history.)";"yes"
